customer_id,timestamp,churn_probability,alert,risk_tier,processing_time_ms,hour
CUST-06074,2024-06-01 00:02:52,0.6969,True,HIGH,41.08,0
CUST-01828,2024-06-01 00:05:44,0.4604,True,HIGH,41.17,0
CUST-04467,2024-06-01 00:11:28,0.5686,True,HIGH,41.24,0
CUST-03456,2024-06-01 00:14:20,0.4717,True,HIGH,41.21,0
CUST-01791,2024-06-01 00:17:12,0.48,True,HIGH,40.47,0
CUST-04931,2024-06-01 00:20:04,0.354,True,HIGH,42.56,0
CUST-02276,2024-06-01 00:40:08,0.3797,True,HIGH,42.08,0
CUST-04945,2024-06-01 00:51:36,0.4482,True,HIGH,42.59,0
CUST-00355,2024-06-01 00:54:28,0.5383,True,HIGH,41.65,0
CUST-04392,2024-06-01 00:57:20,0.4193,True,HIGH,41.57,0
CUST-02401,2024-06-01 01:03:04,0.5107,True,HIGH,41.5,1
CUST-05417,2024-06-01 01:14:32,0.521,True,HIGH,41.19,1
CUST-02988,2024-06-01 01:28:52,0.4991,True,HIGH,40.36,1
CUST-05599,2024-06-01 01:37:28,0.3989,True,HIGH,40.67,1
CUST-04990,2024-06-01 01:40:20,0.3649,True,HIGH,40.96,1
CUST-02211,2024-06-01 01:48:56,0.3546,True,HIGH,42.19,1
CUST-06904,2024-06-01 01:57:32,0.4271,True,HIGH,40.09,1
CUST-00262,2024-06-01 02:03:16,0.4254,True,HIGH,40.85,2
CUST-03286,2024-06-01 02:06:08,0.4519,True,HIGH,40.45,2
CUST-01728,2024-06-01 02:09:00,0.8191,True,CRITICAL,40.41,2
CUST-04646,2024-06-01 02:11:52,0.3544,True,HIGH,40.81,2
CUST-02577,2024-06-01 02:14:44,0.4834,True,HIGH,41.83,2
CUST-04089,2024-06-01 02:17:36,0.3889,True,HIGH,42.45,2
CUST-05266,2024-06-01 02:20:28,0.5298,True,HIGH,39.56,2
CUST-00744,2024-06-01 02:40:32,0.4118,True,HIGH,41.29,2
CUST-00898,2024-06-01 02:43:24,0.4171,True,HIGH,42.48,2
CUST-03152,2024-06-01 02:52:00,0.5513,True,HIGH,40.48,2
CUST-03834,2024-06-01 02:54:52,0.6764,True,HIGH,40.6,2
CUST-01295,2024-06-01 03:14:56,0.4864,True,HIGH,40.8,3
CUST-05915,2024-06-01 03:17:48,0.3739,True,HIGH,36.3,3
CUST-02444,2024-06-01 03:29:16,0.4067,True,HIGH,41.15,3
CUST-01252,2024-06-01 03:35:00,0.5558,True,HIGH,41.67,3
CUST-06378,2024-06-01 03:40:44,0.3838,True,HIGH,41.52,3
CUST-00004,2024-06-01 03:43:36,0.6522,True,HIGH,39.64,3
CUST-01961,2024-06-01 03:52:12,0.3733,True,HIGH,40.77,3
CUST-00701,2024-06-01 03:57:56,0.4543,True,HIGH,46.09,3
CUST-06684,2024-06-01 04:00:48,0.3752,True,HIGH,41.06,4
CUST-06230,2024-06-01 04:03:40,0.3822,True,HIGH,41.06,4
CUST-01352,2024-06-01 04:12:16,0.4305,True,HIGH,42.45,4
CUST-06187,2024-06-01 04:20:52,0.4251,True,HIGH,40.58,4
CUST-01647,2024-06-01 04:23:44,0.6764,True,HIGH,42.76,4
CUST-02030,2024-06-01 04:35:12,0.3609,True,HIGH,40.44,4
CUST-01885,2024-06-01 04:40:56,0.422,True,HIGH,40.08,4
CUST-01949,2024-06-01 04:55:16,0.7318,True,HIGH,41.73,4
CUST-03976,2024-06-01 04:58:08,0.4032,True,HIGH,40.6,4
CUST-04677,2024-06-01 05:03:52,0.3528,True,HIGH,41.53,5
CUST-01990,2024-06-01 05:06:44,0.8191,True,CRITICAL,42.99,5
CUST-06615,2024-06-01 05:09:36,0.7339,True,HIGH,43.74,5
CUST-05972,2024-06-01 05:21:04,0.4538,True,HIGH,41.19,5
CUST-05353,2024-06-01 05:23:56,0.4109,True,HIGH,42.02,5
CUST-00806,2024-06-01 05:26:48,0.3549,True,HIGH,42.01,5
CUST-00895,2024-06-01 05:32:32,0.3708,True,HIGH,42.47,5
CUST-01558,2024-06-01 05:35:24,0.7318,True,HIGH,41.71,5
CUST-01148,2024-06-01 05:38:16,0.4226,True,HIGH,43.77,5
CUST-02281,2024-06-01 05:41:08,0.366,True,HIGH,41.21,5
CUST-07012,2024-06-01 05:46:52,0.3718,True,HIGH,40.83,5
CUST-00414,2024-06-01 05:49:44,0.4047,True,HIGH,42.23,5
CUST-03329,2024-06-01 06:01:12,0.5285,True,HIGH,41.59,6
CUST-01751,2024-06-01 06:04:04,0.451,True,HIGH,39.61,6
CUST-03465,2024-06-01 06:18:24,0.3865,True,HIGH,40.76,6
CUST-04552,2024-06-01 06:24:08,0.4842,True,HIGH,41.6,6
CUST-03986,2024-06-01 06:27:00,0.3632,True,HIGH,41.24,6
CUST-02430,2024-06-01 06:29:52,0.3558,True,HIGH,40.37,6
CUST-00479,2024-06-01 06:32:44,0.4082,True,HIGH,41.48,6
