customer_id,timestamp,churn_probability,alert,risk_tier,processing_time_ms,hour
CUST-05238,2024-06-01 00:00:00,0.086,False,LOW,42.47,0
CUST-06074,2024-06-01 00:02:52,0.6969,True,HIGH,41.08,0
CUST-01828,2024-06-01 00:05:44,0.4604,True,HIGH,41.17,0
CUST-00839,2024-06-01 00:08:36,0.1167,False,LOW,42.44,0
CUST-04467,2024-06-01 00:11:28,0.5686,True,HIGH,41.24,0
CUST-03456,2024-06-01 00:14:20,0.4717,True,HIGH,41.21,0
CUST-01791,2024-06-01 00:17:12,0.48,True,HIGH,40.47,0
CUST-04931,2024-06-01 00:20:04,0.354,True,HIGH,42.56,0
CUST-05865,2024-06-01 00:22:56,0.1367,False,LOW,41.31,0
CUST-04464,2024-06-01 00:25:48,0.1359,False,LOW,41.64,0
CUST-03679,2024-06-01 00:28:40,0.29,False,LOW,40.58,0
CUST-06630,2024-06-01 00:31:32,0.1805,False,LOW,41.51,0
CUST-06216,2024-06-01 00:34:24,0.2491,False,LOW,41.23,0
CUST-05719,2024-06-01 00:37:16,0.2896,False,LOW,41.15,0
CUST-02276,2024-06-01 00:40:08,0.3797,True,HIGH,42.08,0
CUST-06254,2024-06-01 00:43:00,0.3408,False,MEDIUM,39.87,0
CUST-00759,2024-06-01 00:45:52,0.1752,False,LOW,41.47,0
CUST-02940,2024-06-01 00:48:44,0.3152,False,MEDIUM,40.83,0
CUST-04945,2024-06-01 00:51:36,0.4482,True,HIGH,42.59,0
CUST-00355,2024-06-01 00:54:28,0.5383,True,HIGH,41.65,0
CUST-04392,2024-06-01 00:57:20,0.4193,True,HIGH,41.57,0
CUST-03100,2024-06-01 01:00:12,0.1732,False,LOW,43.3,1
CUST-02401,2024-06-01 01:03:04,0.5107,True,HIGH,41.5,1
CUST-05066,2024-06-01 01:05:56,0.0971,False,LOW,42.63,1
CUST-02962,2024-06-01 01:08:48,0.1893,False,LOW,41.32,1
CUST-05771,2024-06-01 01:11:40,0.0963,False,LOW,41.25,1
CUST-05417,2024-06-01 01:14:32,0.521,True,HIGH,41.19,1
CUST-02370,2024-06-01 01:17:24,0.1856,False,LOW,42.87,1
CUST-07006,2024-06-01 01:20:16,0.1629,False,LOW,41.56,1
CUST-00827,2024-06-01 01:23:08,0.197,False,LOW,41.62,1
CUST-03714,2024-06-01 01:26:00,0.1764,False,LOW,42.17,1
CUST-02988,2024-06-01 01:28:52,0.4991,True,HIGH,40.36,1
CUST-02910,2024-06-01 01:31:44,0.1182,False,LOW,40.98,1
CUST-02187,2024-06-01 01:34:36,0.1565,False,LOW,40.21,1
CUST-05599,2024-06-01 01:37:28,0.3989,True,HIGH,40.67,1
CUST-04990,2024-06-01 01:40:20,0.3649,True,HIGH,40.96,1
CUST-04375,2024-06-01 01:43:12,0.1813,False,LOW,40.38,1
CUST-01338,2024-06-01 01:46:04,0.1151,False,LOW,40.12,1
CUST-02211,2024-06-01 01:48:56,0.3546,True,HIGH,42.19,1
CUST-05242,2024-06-01 01:51:48,0.3079,False,MEDIUM,41.39,1
CUST-01799,2024-06-01 01:54:40,0.1376,False,LOW,41.16,1
CUST-06904,2024-06-01 01:57:32,0.4271,True,HIGH,40.09,1
CUST-00458,2024-06-01 02:00:24,0.2471,False,LOW,40.87,2
CUST-00262,2024-06-01 02:03:16,0.4254,True,HIGH,40.85,2
CUST-03286,2024-06-01 02:06:08,0.4519,True,HIGH,40.45,2
CUST-01728,2024-06-01 02:09:00,0.8191,True,CRITICAL,40.41,2
CUST-04646,2024-06-01 02:11:52,0.3544,True,HIGH,40.81,2
CUST-02577,2024-06-01 02:14:44,0.4834,True,HIGH,41.83,2
CUST-04089,2024-06-01 02:17:36,0.3889,True,HIGH,42.45,2
CUST-05266,2024-06-01 02:20:28,0.5298,True,HIGH,39.56,2
CUST-02169,2024-06-01 02:23:20,0.1715,False,LOW,41.84,2
CUST-06102,2024-06-01 02:26:12,0.3053,False,MEDIUM,42.07,2
CUST-02152,2024-06-01 02:29:04,0.3201,False,MEDIUM,42.16,2
CUST-03509,2024-06-01 02:31:56,0.2822,False,LOW,41.25,2
CUST-03271,2024-06-01 02:34:48,0.1375,False,LOW,40.65,2
CUST-01133,2024-06-01 02:37:40,0.3214,False,MEDIUM,45.47,2
CUST-00744,2024-06-01 02:40:32,0.4118,True,HIGH,41.29,2
CUST-00898,2024-06-01 02:43:24,0.4171,True,HIGH,42.48,2
CUST-01310,2024-06-01 02:46:16,0.1984,False,LOW,41.75,2
CUST-03458,2024-06-01 02:49:08,0.1005,False,LOW,39.92,2
CUST-03152,2024-06-01 02:52:00,0.5513,True,HIGH,40.48,2
CUST-03834,2024-06-01 02:54:52,0.6764,True,HIGH,40.6,2
CUST-04532,2024-06-01 02:57:44,0.1486,False,LOW,40.16,2
CUST-00094,2024-06-01 03:00:36,0.2255,False,LOW,41.62,3
CUST-00938,2024-06-01 03:03:28,0.2746,False,LOW,41.46,3
