gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,charges_per_month_ratio,avg_monthly_spend,tenure_group,num_services,has_streaming,has_support,is_month_to_month,auto_payment,risk_score
0,0,1,0,-1.2827281667186554,0,1,-1.1641353596911748,-0.9956859671732632,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3985746062456393,-1.447430785950699,1,1,0,0,1,0,1.0829479649543294
1,0,0,0,0.06238689314432279,1,0,-0.2628107638888189,-0.17526189837316392,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.09927707124348198,-0.16813239269617822,3,2,0,1,0,0,-0.6215164417858854
1,0,0,0,-1.2419671042985652,1,1,-0.36591431543816594,-0.9611422602461275,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14675458974927527,-0.7555543332117122,1,2,0,1,1,0,0.4855225311445519
1,0,0,0,0.5107585797653155,0,0,-0.7500581929849266,-0.1967689955979131,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,-0.10304746794766625,-0.6256518681466874,4,3,0,1,0,0,-0.7448591609156865
0,0,0,0,-1.2419671042985652,1,1,0.19450337604780069,-0.9419513119532744,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13071712771175903,-0.2806568863612831,1,0,0,0,1,0,0.9271199206216177
0,0,0,0,-0.9974007297780236,1,1,1.1573575106779928,-0.6468739380297155,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.05084606005734025,1.049602915672498,1,4,1,0,1,0,0.6520098228094686
1,0,0,1,-0.4267458558967602,1,1,0.8064728433084405,-0.14883574198829255,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.090992819330063,0.8396589423069378,2,3,1,0,1,1,0.32106557230481714
0,0,0,0,-0.9158786049378431,0,0,-1.1674612807088958,-0.8756653353785345,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0631131253906722,-1.0373650284823683,1,1,0,1,1,0,0.3713163097280695
0,0,1,0,-0.1821794813762187,1,1,1.3286424430906172,0.3349746820429117,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,-0.09699359154939852,1.5038505114719476,3,5,1,1,1,0,0.032758311128985564
1,0,0,1,1.2036966409068497,1,0,-0.28941813203058603,0.5299282464247919,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.10671165629398617,-0.12298110854252298,6,2,0,1,0,0,-0.8806376685997268
